Thin Section: 	C:\Ice Data\2017-07-21-Fri\10.08 SPICE 1699 VTS

Results: 	C:\Ice Results\2017-07-21-Fri\10.08 SPICE 1699 VTS\2017-07-21-Fri, 14.11

Sequence Angles: 
xi	phi inner
0	0
45	0
45	-45
45	-90
45	-135
45	-180
45	-225
45	-270
45	-315

Threshold: 
45.000

Grain #		theta		phi	Rsquared

0.000000	2.696143	-20.068996	0.090163
1.000000	9.726191	61.410532	0.002624
2	grain not analyzable
3.000000	32.391522	-77.451382	0.002037
4.000000	33.028225	-73.617636	0.006243
5.000000	22.164722	77.873840	0.001290
6.000000	-43.239271	80.759989	0.015158
7.000000	-18.097971	-84.359079	0.005000
8.000000	79.515158	88.078499	0.001135
9.000000	86.601227	-86.117621	0.002256
10.000000	-47.244266	-90.113676	0.041368
11.000000	85.077191	83.634944	0.003291
12.000000	84.005819	85.474068	0.001196
13.000000	34.935968	78.592379	0.073136
14.000000	41.494043	78.511223	0.002777
15.000000	-86.636344	-85.548387	0.008602
16.000000	-45.432182	-86.789634	0.001975
17.000000	49.140352	72.468619	0.001662
18.000000	84.723719	89.293055	0.001332
19.000000	-54.281003	80.726682	0.001085
20.000000	54.989347	79.287778	0.946547
21.000000	66.352070	-87.195166	0.021592
22.000000	-76.041316	90.229389	0.008710
23.000000	55.157529	80.659423	0.003641
24.000000	-50.291481	89.830030	0.027569
25.000000	48.481933	-88.906463	0.006640
26.000000	50.312399	-76.128605	0.009842
27.000000	68.120543	-82.873441	0.007577
28.000000	73.435100	-82.767524	0.005400
29.000000	-23.104894	-90.019413	0.000913
30	grain not analyzable
31.000000	16.915660	-82.050335	0.002372
32.000000	-29.339242	83.476625	0.001636
33.000000	63.987671	76.718025	0.000206
34.000000	-75.496817	-88.229457	0.025699
35.000000	-31.075897	89.380902	0.022372
36	grain not analyzable
37.000000	-6.514956	27.476045	0.003469
38.000000	49.949689	78.845738	0.000607
39.000000	17.939105	-58.516338	0.003587
40.000000	25.028278	-67.147011	0.003024
41.000000	49.630299	-87.389464	0.002636
42.000000	84.488130	89.242199	0.004792
43.000000	21.992321	76.762933	0.000033
44.000000	84.853259	-88.045661	0.007442
45.000000	-87.334631	-13.659519	0.058237
46.000000	-19.203701	63.441480	0.000982
47.000000	25.161318	69.770771	0.000398
48.000000	31.240656	-83.135394	0.001807
49.000000	47.231842	-86.164736	0.015473
50.000000	40.503183	-83.413055	0.004359
51.000000	65.484878	-90.013479	0.002510
52.000000	35.583284	76.327627	0.000581
53.000000	31.323164	56.781748	0.001333
54.000000	-25.271425	86.952781	0.005283
55.000000	-12.651258	-84.219898	0.001406
56.000000	30.383881	-81.613548	0.000119
57	grain not analyzable
58.000000	50.234000	67.570024	0.005562
59	grain not analyzable
60.000000	66.788745	82.537936	0.008913
61.000000	42.680636	87.715643	0.009831
62.000000	12.051387	-60.984750	0.003909
63.000000	43.850090	61.523228	0.001275
64.000000	-64.310727	83.350417	0.002365
65.000000	-26.519772	-83.769509	0.003712
66.000000	-56.935493	87.735664	0.001075
67.000000	-45.625346	-86.423968	0.002273
68.000000	47.208790	-84.394547	0.000791
69.000000	-42.767463	-89.010215	0.002621
70.000000	25.696866	-63.788685	0.006024
71.000000	55.842570	89.315803	0.001244
72.000000	47.644257	83.400847	0.001465
73.000000	73.099302	-89.004312	0.003260
74	grain not analyzable
75.000000	-55.889986	-88.425379	0.005655
76.000000	49.926941	84.717943	0.009333
77.000000	72.206622	-79.289847	0.008441
78.000000	-55.613288	-89.556100	0.000473
79.000000	18.160038	-73.481888	0.004126
80.000000	-45.411097	89.379559	0.008491
81.000000	73.292401	87.419964	0.003185
82.000000	-87.640258	86.966821	0.006664
83.000000	-87.062418	86.498700	0.011675
84	grain not analyzable
85.000000	46.399674	-86.595157	0.006015
86.000000	-57.344722	89.016585	0.001770
87.000000	60.708380	-87.253548	0.004765
88.000000	49.459700	82.006682	0.003974
89.000000	22.374795	80.319088	0.000548
90.000000	55.536169	87.922761	0.001327
91.000000	40.448515	82.040032	0.000935
92.000000	-39.471505	48.320940	0.015355
93	grain not analyzable
94.000000	4.903775	-86.101783	0.050676
95.000000	46.423969	-86.584830	0.004111
96.000000	-81.785911	-82.256841	0.003087
97.000000	60.856129	86.623975	0.001676
98.000000	29.078358	-73.244161	0.023541
99.000000	27.210814	-72.841873	0.002037
100	grain not analyzable
