Nominal Depth,E1,E2,E3
140,0.4652,0.2897,0.2451
160,0.4416,0.3237,0.2347
180,0.4316,0.3037,0.2646
200,0.4306,0.3241,0.2453
220,0.4480,0.3223,0.2297
240,0.4579,0.3194,0.2227
260,0.4578,0.3124,0.2298
280,0.4659,0.2989,0.2352
300,0.4754,0.3013,0.2233
320,0.4468,0.3144,0.2388
340,0.4515,0.3252,0.2233
360,0.4278,0.3651,0.2071
380,0.4248,0.3708,0.2044
400,0.4618,0.3335,0.2048
420,0.4602,0.3461,0.1936
440,0.4543,0.3607,0.1850
460,0.4309,0.3876,0.1815
480,0.4410,0.3667,0.1923
500,0.4307,0.4038,0.1656
520,0.4363,0.3610,0.2027
540,0.4326,0.4132,0.1543
557,0.4455,0.3810,0.1735
578,0.4367,0.4043,0.1591
597,0.4330,0.4157,0.1513
617,0.4325,0.3797,0.1878
636,0.4520,0.4061,0.1419
657,0.4499,0.4136,0.1366
677,0.4556,0.4220,0.1225
696,0.4374,0.4278,0.1348
717,0.4497,0.4168,0.1335
737,0.4573,0.3954,0.1473
758,0.4542,0.4033,0.1425
778,0.4598,0.4244,0.1158
797,0.4527,0.4086,0.1387
818,0.4634,0.3793,0.1573
837,0.4501,0.4208,0.1291
857,0.4627,0.4309,0.1064
878,0.4820,0.4120,0.1060
897,0.4731,0.4192,0.1078
917,0.4598,0.4406,0.0996
937,0.4769,0.4309,0.0922
957,0.5024,0.4088,0.0889
977,0.5071,0.4274,0.0654
997,0.5061,0.4234,0.0705
1017,0.4876,0.4531,0.0593
1037,0.4964,0.4482,0.0555
1057,0.5192,0.4268,0.0540
1077,0.5028,0.4461,0.0511
1078,0.4904,0.4581,0.0515
1098,0.5154,0.4387,0.0460
1119,0.4929,0.4600,0.0472
1138,0.4909,0.4721,0.0370
1159,0.4925,0.4603,0.0472
1179,0.4910,0.4692,0.0399
1199,0.4943,0.4730,0.0327
1219,0.5185,0.4504,0.0311
1238,0.5023,0.4637,0.0341
1259,0.5271,0.4431,0.0298
1279,0.5214,0.4493,0.0293
1298,0.5165,0.4562,0.0273
1319,0.5171,0.4543,0.0286
1339,0.5239,0.4486,0.0275
1358,0.5007,0.4703,0.0290
1379,0.5257,0.4437,0.0306
1399,0.5028,0.4734,0.0237
1418,0.4997,0.4743,0.0260
1441,0.5101,0.4571,0.0327
1459,0.5151,0.4561,0.0289
1480,0.5331,0.4429,0.0240
1499,0.5198,0.4598,0.0203
1519,0.4958,0.4839,0.0203
1540,0.5139,0.4661,0.0200
1559,0.5215,0.4604,0.0181
1579,0.5376,0.4451,0.0173
1600,0.5088,0.4712,0.0200
1619,0.5357,0.4452,0.0191
1639,0.5327,0.4529,0.0144
1660,0.5047,0.4817,0.0135
1679,0.5083,0.4804,0.0113
1699,0.5265,0.4591,0.0144
1720,0.5017,0.4847,0.0136
1739,0.5000,0.4882,0.0118
